"|","|__S.NO.","|__STATEUT","|___2013_-_CASES","|___2013_-_DEATHS","|___2014_-_CASES","|___2014_-_DEATHS","|___2015_-_CASES","|___2015_-_DEATHS"
"ROW1","1","Andhra Pradesh","910","1","1262","5","3159","2"
"ROW2","2","Arunachal Pradesh","0","0","27","0","1933","1"
"ROW3","3","Assam","4526","2","85","0","1076","1"
"ROW4","4","Bihar","1246","5","297","0","1771","0"
"ROW5","5","Chhattisgarh","83","2","440","9","384","1"
"ROW6","6","Goa","198","2","168","1","293","0"
"ROW7","7","Gujarat","6272","15","2320","3","5590","9"
"ROW8","8","Haryana","1784","5","214","2","9921","13"
"ROW9","9","Himachal Pradesh","89","2","2","0","19","1"
"ROW10","10","Jammu & Kashmir","1837","3","1","0","153","0"
"ROW11","11","Jharkhand","161","0","36","0","102","0"
"ROW12","12","Karnataka","6408","12","3358","2","5077","9"
"ROW13","13","Kerala","7938","29","2575","11","4075","25"
"ROW14","14","Madhya Pradesh","1255","9","2131","13","2108","8"
"ROW15","15","Meghalaya","43","0","0","0","13","0"
"ROW16","16","Maharashtra","5610","48","8573","54","4936","23"
"ROW17","17","Manipur","9","0","0","0","52","0"
"ROW18","18","Mizoram","7","0","19","0","43","0"
"ROW19","19","Nagaland","0","0","0","0","21","1"
"ROW20","20","Odisha","7132","6","6433","9","2450","2"
"ROW21","21","Punjab","4117","25","472","8","14128","18"
"ROW22","22","Rajasthan","4413","10","1243","7","4043","7"
"ROW23","23","Sikkim","38","0","5","0","21","0"
"ROW24","24","Tamil Nadu","6122","0","2804","3","4535","12"
"ROW25","25","Tripura","8","0","6","0","40","0"
"ROW26","26","Telangana","0","0","704","1","1831","2"
"ROW27","27","Uttar Pradesh","1414","5","200","0","2892","9"
"ROW28","28","Uttarakhand","54","0","106","0","1655","1"
"ROW29","29","West Bengal","5920","6","3934","4","8516","14"
"ROW30","30","A & N Island","67","0","139","0","153","0"
"ROW31","31","Chandigarh","107","0","13","0","966","1"
"ROW32","32","Delhi","5574","6","995","3","15867","60"
"ROW33","33","Dadra & Nagar Haveli","190","0","641","1","1154","0"
"ROW34","34","Daman & Diu","61","0","46","0","165","0"
"ROW35","35","Puducherry","2215","0","1322","1","771","0"
