Sl. No.,Affected States/UTs,2015,,2016,,2017,,2018,,2019,,2020 (Till 30 Sept.),
,,C,D,C,D,C,D,C,D,C,D,C,D
1,Andhra Pradesh,3159,2,3417,2,4925,0,4011,0,5286,0,527,0
2,Arunachal Pradesh,1933,1,13,0,18,0,1,0,123,0,0,0
3,Assam,1076,1,6157,4,5024,1,166,0,196,0,24,0
4,Bihar,1771,0,1912,0,1854,0,2142,0,6712,0,8,0
5,Chattisgarh,384,1,356,0,444,0,2674,10,722,0,55,0
6,Goa,293,0,150,0,235,0,335,1,992,0,400,0
7,Gujarat,5590,9,8028,14,4753,6,7579,5,18219,17,886,0
8,Haryana,9921,13,2493,0,4550,0,1898,0,1207,0,117,0
9,Himachal Pradesh,19,1,322,0,452,0,4672,7,344,2,10,0
10,J & K,153,0,79,1,488,0,214,0,439,0,3,0
11,Jharkhand,102,0,414,1,710,5,463,1,825,0,58,0
12,Karnataka,5077,9,6083,8,17844,10,4427,4,16986,13,2968,0
13,Kerala,4075,25,7439,13,19994,37,4083,32,4652,16,2461,5
14,Madhya Pradesh,2108,8,3150,12,2666,6,4506,5,4189,2,226,0
15,Meghalaya,13,0,172,0,52,0,44,0,82,0,14,0
16,Maharashtra,4936,23,6792,33,7829,65,11011,55,14907,29,2029,4
17,Manipur,52,0,51,1,193,1,14,0,359,0,35,0
18,Mizoram,43,0,580,0,136,0,68,0,42,0,59,0
19,Nagaland,21,1,142,0,357,0,369,0,8,0,0,0
20,Odisha,2450,2,8380,11,4158,6,5198,5,3758,4,324,0
21,Punjab,14128,18,10439,15,15398,18,14980,9,10289,14,1404,0
22,Rajasthan,4043,7,5292,16,8427,14,9587,10,13706,17,656,0
23,Sikkim,21,0,82,0,312,0,320,0,444,0,9,0
24,Tamil Nadu,4535,12,2531,5,23294,65,4486,13,8527,5,1785,0
25,Tripura,40,0,102,0,127,0,100,0,114,0,23,0
26,Telangana,1831,2,4037,4,5369,0,4592,2,13331,7,851,0
27,Uttar Pradesh,2892,9,15033,42,3092,28,3829,4,10557,26,212,1
28,Uttrakhand,1655,1,2146,4,849,0,689,3,10622,8,55,1
29,West Bengal,8516,14,22865,45,37746,46,,,NR,NR,NR,NR
30,A& N Island,153,0,92,0,18,0,49,0,168,0,66,0
31,Chandigarh,966,1,1246,0,1125,0,301,0,286,0,32,0
32,Delhi,15867,60,4431,10,9271,10,7136,4,5077,0,297,0
33,D&N Haveli,1154,0,4161,2,2064,0,493,0,1491,2,139,0
34,Daman & Diu,165,0,89,0,59,0,163,0,625,2,55,0
35,Puduchery,771,0,490,2,4568,7,592,2,2030,2,651,1
,Total,99913,220,129166,245,188401,325,101192,172,157315,166,16439,12
