|__SUBDIVISION,|__YEAR,|__ANNUAL,|__JF,|__MAM,|__JJAS,|__OND
Andaman & Nicobar Islands,2007,2748.0,6.5,429.6,1793.1,518.9
Andaman & Nicobar Islands,2008,3374.8,77.6,877.3,1783.1,636.8
Andaman & Nicobar Islands,2009,2538.6,30.8,493.7,1627.1,386.9
Andaman & Nicobar Islands,2010,3157.1,109.8,332.2,1797.8,917.3
Andaman & Nicobar Islands,2011,3828.0,350.7,710.7,2165.0,601.6
Andaman & Nicobar Islands,2012,3497.6,165.6,620.5,2014.0,697.5
Andaman & Nicobar Islands,2013,3757.8,104.7,598.6,2152.1,902.4
Andaman & Nicobar Islands,2014,2622.4,50.5,249.1,1618.7,704.2
Andaman & Nicobar Islands,2015,2904.6,134.4,473.2,1678.6,618.4
Andaman & Nicobar Islands,2016,2851.9,87.8,198.9,1562.6,1002.6
Andaman & Nicobar Islands,2017,2890.0,234.2,417.1,1526.0,712.6
Arunachal Pradesh,2007,3020.7,110.8,590.9,2185.1,133.9
Arunachal Pradesh,2008,2244.4,116.4,499.9,1508.7,119.4
Arunachal Pradesh,2009,1749.9,110.8,394.7,1111.8,132.7
Arunachal Pradesh,2010,2855.7,13.9,1017.5,1653.6,170.9
Arunachal Pradesh,2011,2193.7,91.4,634.9,1384.2,83.3
Arunachal Pradesh,2012,3440.3,93.6,724.9,2325.6,296.3
Arunachal Pradesh,2013,2042.9,59.0,626.0,1165.9,192.0
Arunachal Pradesh,2014,2403.2,120.9,466.0,1750.8,65.4
Arunachal Pradesh,2015,2767.5,78.3,623.5,1936.9,128.8
Arunachal Pradesh,2016,2706.9,102.6,740.4,1678.2,185.7
Arunachal Pradesh,2017,2745.3,94.4,827.0,1583.5,240.3
Assam & Meghalaya,2007,2752.8,75.2,486.1,1975.1,216.4
Assam & Meghalaya,2008,2339.7,44.2,474.4,1683.9,137.2
Assam & Meghalaya,2009,2068.2,19.5,426.2,1473.5,149.0
Assam & Meghalaya,2010,2711.5,3.7,882.3,1690.2,135.3
Assam & Meghalaya,2011,1743.4,22.5,439.4,1236.0,45.6
Assam & Meghalaya,2012,2609.4,22.1,493.7,1874.8,218.8
Assam & Meghalaya,2013,1816.4,10.7,503.5,1172.9,129.3
Assam & Meghalaya,2014,2206.1,30.3,431.9,1705.5,38.5
Assam & Meghalaya,2015,2470.9,28.9,620.9,1729.3,91.8
Assam & Meghalaya,2016,2266.9,34.8,726.0,1323.9,182.1
Assam & Meghalaya,2017,2711.7,39.5,695.9,1742.7,233.5
Naga Mani Mizo Tripura,2007,2538.2,62.6,525.8,1676.6,273.2
Naga Mani Mizo Tripura,2008,1748.9,44.4,305.3,1243.0,156.1
Naga Mani Mizo Tripura,2009,1737.7,3.2,330.1,1219.9,184.5
Naga Mani Mizo Tripura,2010,2295.2,8.9,541.4,1482.0,262.9
Naga Mani Mizo Tripura,2011,1892.1,16.1,467.4,1313.4,95.2
Naga Mani Mizo Tripura,2012,1922.9,34.7,427.3,1267.6,193.3
Naga Mani Mizo Tripura,2013,1557.2,5.9,428.9,995.2,127.1
Naga Mani Mizo Tripura,2014,1599.9,22.2,267.5,1237.2,73.0
Naga Mani Mizo Tripura,2015,1922.4,28.7,473.4,1287.7,132.6
Naga Mani Mizo Tripura,2016,1956.4,42.0,478.7,1229.0,206.7
Naga Mani Mizo Tripura,2017,2805.4,12.7,599.7,1829.8,363.3
Sub Himalayan West Bengal & Sikkim,2007,2638.9,84.2,421.7,2042.5,90.3
Sub Himalayan West Bengal & Sikkim,2008,2689.9,55.3,393.0,2117.3,124.3
Sub Himalayan West Bengal & Sikkim,2009,2324.6,46.3,478.9,1549.6,249.8
Sub Himalayan West Bengal & Sikkim,2010,2612.3,25.2,590.0,1920.8,76.3
Sub Himalayan West Bengal & Sikkim,2011,2418.7,28.4,453.9,1858.6,77.7
Sub Himalayan West Bengal & Sikkim,2012,2632.2,29.2,407.7,2056.0,139.3
Sub Himalayan West Bengal & Sikkim,2013,2406.1,26.7,443.4,1717.6,218.5
Sub Himalayan West Bengal & Sikkim,2014,2322.6,26.9,394.2,1862.6,38.9
Sub Himalayan West Bengal & Sikkim,2015,2518.6,30.7,518.5,1883.0,86.4
Sub Himalayan West Bengal & Sikkim,2016,2624.8,27.9,434.0,2007.1,155.8
Sub Himalayan West Bengal & Sikkim,2017,2684.9,8.1,458.2,2047.3,171.3
Gangetic West Bengal,2007,1941.4,60.1,176.7,1624.2,80.4
Gangetic West Bengal,2008,1555.2,61.8,148.8,1272.3,72.4
Gangetic West Bengal,2009,1315.0,3.8,249.5,974.6,87.1
Gangetic West Bengal,2010,1064.8,10.5,151.3,770.7,132.2
Gangetic West Bengal,2011,1686.5,5.2,248.1,1393.6,39.6
Gangetic West Bengal,2012,1268.0,56.0,106.3,969.9,135.8
Gangetic West Bengal,2013,1764.1,12.5,246.3,1152.0,353.3
Gangetic West Bengal,2014,1261.4,43.1,146.2,1014.4,57.7
Gangetic West Bengal,2015,1530.3,18.4,165.6,1304.9,41.3
Gangetic West Bengal,2016,1427.0,47.8,132.4,1157.8,89.0
Gangetic West Bengal,2017,1568.6,1.4,167.3,1138.9,261.1
Orissa,2007,1633.8,33.2,91.8,1428.4,80.4
Orissa,2008,1538.9,37.9,83.1,1393.2,24.8
Orissa,2009,1330.3,2.4,72.0,1122.7,133.2
Orissa,2010,1291.9,9.9,106.4,969.9,205.7
Orissa,2011,1346.2,19.8,138.7,1167.0,20.7
Orissa,2012,1405.9,54.4,57.0,1153.3,141.3
Orissa,2013,1632.4,11.2,113.4,1115.6,392.2
Orissa,2014,1536.9,17.7,148.7,1255.7,114.8
Orissa,2015,1210.1,18.4,110.7,1034.5,46.5
Orissa,2016,1253.5,18.9,98.7,1031.5,104.4
Orissa,2017,1344.5,1.7,93.8,1053.1,195.9
Jharkhand,2007,1437.3,50.1,105.8,1234.1,47.2
Jharkhand,2008,1325.3,22.9,59.7,1207.7,35.0
Jharkhand,2009,996.1,2.6,80.8,826.1,86.6
Jharkhand,2010,697.1,2.5,36.4,578.4,79.8
Jharkhand,2011,1374.7,5.8,86.8,1258.7,23.4
Jharkhand,2012,1065.0,45.0,17.7,908.3,94.0
Jharkhand,2013,1253.6,19.0,109.0,844.5,281.1
Jharkhand,2014,1156.6,57.4,123.1,930.1,46.1
Jharkhand,2015,1081.8,14.8,102.6,938.8,25.6
Jharkhand,2016,1264.0,20.2,91.3,1107.0,45.6
Jharkhand,2017,1165.8,5.2,66.6,988.2,105.9
Bihar,2007,1600.2,34.3,140.2,1369.4,56.2
Bihar,2008,1197.7,30.0,62.6,1083.5,21.6
Bihar,2009,889.3,0.7,102.5,707.7,78.4
Bihar,2010,629.2,1.3,51.1,536.2,40.7
Bihar,2011,1097.1,11.8,107.6,964.8,12.9
Bihar,2012,1032.4,20.9,46.5,924.4,40.6
Bihar,2013,1069.9,27.7,122.4,722.2,197.5
Bihar,2014,1061.0,50.5,112.9,848.6,49.0
Bihar,2015,872.7,14.6,105.5,742.3,10.4
Bihar,2016,1158.0,9.9,93.5,993.9,60.8
Bihar,2017,1112.0,0.7,124.3,936.8,50.2
East Uttar Pradesh,2007,741.2,46.7,57.2,621.6,15.7
East Uttar Pradesh,2008,953.4,5.5,19.3,917.6,10.9
East Uttar Pradesh,2009,610.2,1.1,24.2,496.0,88.9
East Uttar Pradesh,2010,692.2,12.2,14.7,645.2,20.1
East Uttar Pradesh,2011,781.2,3.7,36.7,740.2,0.6
East Uttar Pradesh,2012,602.7,21.5,6.4,573.1,1.8
East Uttar Pradesh,2013,1041.4,65.8,12.6,864.0,99.0
East Uttar Pradesh,2014,701.2,73.3,27.7,517.1,83.1
East Uttar Pradesh,2015,603.3,34.1,80.0,472.0,17.2
East Uttar Pradesh,2016,871.7,6.6,48.8,790.3,25.9
East Uttar Pradesh,2017,695.0,9.8,32.2,650.0,3.0
West Uttar Pradesh,2007,572.5,67.3,49.3,452.7,3.2
West Uttar Pradesh,2008,799.8,1.2,28.8,760.7,9.1
West Uttar Pradesh,2009,549.2,5.2,22.7,445.3,76.0
West Uttar Pradesh,2010,820.7,16.8,10.0,772.3,21.6
West Uttar Pradesh,2011,777.4,12.5,36.3,725.9,2.7
