|__SUBDIVISION,|__YEAR,|__ANNUAL,|__JF,|__MAM,|__JJAS,|__OND
Andaman & Nicobar Islands,1901,3373.2,136.3,560.3,1696.3,980.3
Andaman & Nicobar Islands,1902,3520.7,159.8,458.3,2185.9,716.7
Andaman & Nicobar Islands,1903,2957.4,156.7,236.1,1874,690.6
Andaman & Nicobar Islands,1904,3079.6,24.1,506.9,1977.6,571
Andaman & Nicobar Islands,1905,2566.7,1.3,309.7,1624.9,630.8
Andaman & Nicobar Islands,1906,2534.4,36.6,556.1,1465.8,475.9
Andaman & Nicobar Islands,1907,3347.9,110.7,751.2,1327.1,1158.9
Andaman & Nicobar Islands,1908,3576.4,106,591,2303.7,575.7
Andaman & Nicobar Islands,1910,2899.4,49.3,520.1,1701,629
Andaman & Nicobar Islands,1911,2687.2,8.4,449.8,1553.6,675.4
Andaman & Nicobar Islands,1912,2960.5,584.5,162.6,1775.2,438.2
Andaman & Nicobar Islands,1913,2365.8,85.3,194.5,1596.7,489.3
Andaman & Nicobar Islands,1914,2957.8,0,336.5,2007.4,613.9
Andaman & Nicobar Islands,1915,2741.3,101.7,244.4,1350.7,1044.5
Andaman & Nicobar Islands,1916,2937.5,0,487.9,1753.6,696
Andaman & Nicobar Islands,1917,2612.4,11.6,412.4,1605.1,583.3
Andaman & Nicobar Islands,1918,3275,84.3,751.4,1670.4,768.9
Andaman & Nicobar Islands,1919,2352.1,28.2,319.4,1219.5,785
Andaman & Nicobar Islands,1920,2943.2,129.7,253.5,1814.1,745.9
Andaman & Nicobar Islands,1921,2606.4,16.3,388.7,1681,520.4
Andaman & Nicobar Islands,1922,3554.2,279.6,628.4,1751,895.2
Andaman & Nicobar Islands,1923,NA,79.5,NA,2188,399.9
Andaman & Nicobar Islands,1924,NA,28.7,295.7,1296.6,NA
Andaman & Nicobar Islands,1925,2480.5,36.6,341.2,1385.7,717
Andaman & Nicobar Islands,1926,3282.2,122.1,198.9,1808.3,1152.9
Andaman & Nicobar Islands,1927,2442.9,20.5,630.5,1124.8,667.1
Andaman & Nicobar Islands,1928,2998.3,118.5,709.5,1612.8,557.5
Andaman & Nicobar Islands,1929,2926.6,192.6,515.6,1540.4,678
Andaman & Nicobar Islands,1930,3075.1,192.8,373.6,1975.4,533.3
Andaman & Nicobar Islands,1931,2357.7,25.3,210.4,1548.2,573.8
Andaman & Nicobar Islands,1932,NA,5.3,548,NA,NA
Andaman & Nicobar Islands,1933,2987.5,16.2,431.9,1973.9,565.5
Andaman & Nicobar Islands,1934,3722.8,180.2,200.3,2717.9,624.4
Andaman & Nicobar Islands,1935,3154,6.6,860.9,1733.3,553.2
Andaman & Nicobar Islands,1936,NA,31.8,NA,2109.8,586.3
Andaman & Nicobar Islands,1937,3591.1,32.3,442.5,1863.8,1252.5
Andaman & Nicobar Islands,1938,3264.4,70.6,521,1930.6,742.2
Andaman & Nicobar Islands,1939,2782.5,55.6,573.9,1591.9,561.1
Andaman & Nicobar Islands,1940,3007.5,3.3,380.1,1970.2,653.9
Andaman & Nicobar Islands,1941,2898.2,12.8,329.7,1627.4,928.3
Andaman & Nicobar Islands,1942,NA,46.6,NA,NA,NA
Andaman & Nicobar Islands,1946,2791.6,88,465.4,1570.6,667.6
Andaman & Nicobar Islands,1947,NA,136.2,397.2,NA,612.1
Andaman & Nicobar Islands,1949,3489.6,56.4,572.3,2433.2,427.7
Andaman & Nicobar Islands,1950,2422.2,0.8,359.7,1578.4,483.3
Andaman & Nicobar Islands,1951,3275.1,89.9,304.4,1747.4,1133.4
Andaman & Nicobar Islands,1952,3079.9,0.8,562,1824.8,692.3
Andaman & Nicobar Islands,1953,2721.9,121.3,420.5,1627.1,552.9
Andaman & Nicobar Islands,1954,3449,85.9,487,2419.4,456.7
Andaman & Nicobar Islands,1955,3349.6,85.5,742.2,1648.3,873.6
Andaman & Nicobar Islands,1956,3080,126.4,656,1604.4,693.3
Andaman & Nicobar Islands,1957,2507.2,47.3,166,1833.6,460.3
Andaman & Nicobar Islands,1958,2807.4,37.2,410.2,1710.4,649.6
Andaman & Nicobar Islands,1959,3343.3,11.9,356.1,2271.7,703.6
Andaman & Nicobar Islands,1960,3025,176.6,601,1563,684.5
Andaman & Nicobar Islands,1961,3938.2,181.5,1094.5,1857.3,805
Andaman & Nicobar Islands,1962,2959.7,167.3,374.1,1671.9,746.4
